Score,Text,Time
0.296,"RT @BucksCoKierstyn: Regardless of what happens this #ElectionDay, I'm going to be PSYCHED to remove this 💩 from my Google Alert list.

I h…",2022-11-08T22:23:08.000Z
0,▶️Dr. Mehmet Öz Pennsylvania eyaletinde Senatör olmak için Cumhuriyetçi Parti adına yarışacak.Demokrat Parti adayı… https://t.co/Cwzh6eKtAY,2022-11-08T21:32:18.000Z
0.296,"RT @BucksCoKierstyn: Regardless of what happens this #ElectionDay, I'm going to be PSYCHED to remove this 💩 from my Google Alert list.

I h…",2022-11-08T21:22:13.000Z
-0.4466,RT @Roadmaster1253: PENNSYLVANIA VOTE NO ON #MehmetOz #DrOz SNAKE OIL SALESMAN.......#Pennsylvania #VoteBlueToSaveAmerica #FettermanForSena…,2022-11-08T21:20:00.000Z
-0.9341,"RT @Roadmaster1253: VOTE NO ON #REPUBLICANS 
VOTE NO ON #MAGA &amp;
VOTE HELL NO ON  #DrOz #MehmetOz THE SNAKE OIL SALESMAN FROM NEW JERSEY..
#…",2022-11-08T21:19:04.000Z
-0.9042,"RT @Roadmaster1253: VOTE NO ON THE SNAKE OIL SALESMAN FROM NEW JERSEY..
HELL NO ON #MehmetOz #DrOz 
#FoxNews #Midterm #MIDTERMELECTIONS #Wo…",2022-11-08T21:16:33.000Z
0.7096,"@DrOz @HerschelWalker @JDVance1
@KariLake

Good luck for today Dr Oz, J.D, Herschel and Kari and all the other GOP… https://t.co/PZFr4LJ2IV",2022-11-08T20:52:04.000Z
0.296,"RT @BucksCoKierstyn: Regardless of what happens this #ElectionDay, I'm going to be PSYCHED to remove this 💩 from my Google Alert list.

I h…",2022-11-08T20:38:31.000Z
0.296,"RT @BucksCoKierstyn: Regardless of what happens this #ElectionDay, I'm going to be PSYCHED to remove this 💩 from my Google Alert list.

I h…",2022-11-08T20:34:37.000Z
0,"RT @ChrisBohjalian: Since 2017, when I lecture in synagogues and Armenian churches about the links between the #ArmenianGenocide and the #H…",2022-11-08T19:42:03.000Z
0,RT @CarGofan: #DrOz.  #MehmetOz,2022-11-08T19:32:00.000Z
0,#DrOz.   #MehmetOz https://t.co/SqmgLEBFYw,2022-11-08T19:30:57.000Z
0,#DrOz.   #MehmetOz https://t.co/Bq1ceKX6lc,2022-11-08T19:30:25.000Z
0,#DrOz.  #MehmetOz https://t.co/FuX0qWFEAx,2022-11-08T19:29:56.000Z
0.25,"RT @PicAxe6: In Order To Assure The Outcome He Wants, Fetterman Warns That “Ballot Counting” in Pennsylvania Could Take ‘Several Days’. Bew…",2022-11-08T18:08:54.000Z
0.296,"RT @BucksCoKierstyn: Regardless of what happens this #ElectionDay, I'm going to be PSYCHED to remove this 💩 from my Google Alert list.

I h…",2022-11-08T18:06:20.000Z
