Score,Text,Time
0.5994,Congratulations @JohnFetterman #JohnFetterman Now let’s get @CortezMasto over the finish line.,2022-11-09T06:21:26.000Z
0,RT @France24_fr: 🔴 Le démocrate #JohnFetterman arrache de peu un siège de sénateur déterminant face au républicain #MehmetOz en #Pennsylvan…,2022-11-09T06:21:02.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:20:57.000Z
0,Every County! Every Vote!!! #JohnFetterman #ThankYouPA,2022-11-09T06:20:47.000Z
0,Yesssss 💪🏼💪🏼💪🏼 just heard it in german radio 📻☺️ #JohnFetterman #Democrats https://t.co/9unIVZOXHg,2022-11-09T06:20:41.000Z
-0.7096,Ridiculing #johnfetterman is just poor taste 🙄😡,2022-11-09T06:20:37.000Z
0,I’m so #PROUDOFPA right now! @JohnFetterman you are everything this country needs right now!! This west coaster is… https://t.co/nudeMF8kdL,2022-11-09T06:20:32.000Z
-0.296,"Just remember, you may be stupid, but youre not “Pennsylvania voted for an invalid just because he wears a hoodie”… https://t.co/5k8XnDfVi3",2022-11-09T06:20:24.000Z
-0.5091,"I am so happy for #JohnFetterman! To those who mocking a victim of a stroke, you suck! @GOPChairwoman @hughhewitt F… https://t.co/9f5o2bOlzW",2022-11-09T06:20:17.000Z
-0.34,Yay #JohnFetterman. The #MAGATs lost their fraud excuse when they went to court to disqualify ballots. FETTERMAN WO… https://t.co/7zzB0Wp4lB,2022-11-09T06:20:04.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:20:02.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:19:55.000Z
-0.7762,"RT @WAVHistheMOC: Hell yea!!!!

#Elections2022 #ElectionDay #Vote2022 #Midterms2022 #ElectionNight #Senate #House #VoteBlueToday #Vote #Vot…",2022-11-09T06:19:53.000Z
0.7243,Congratulations to #JohnFetterman! @JohnFetterman 🎊🎉 Yay!!!!! https://t.co/sufqScLkfW,2022-11-09T06:19:27.000Z
0.6801,"Whatever else happens, it's really gratifying to see a good and decent guy, #JohnFetterman, beat that slimebag huckster #MehmetOz. 👏👏👏",2022-11-09T06:19:26.000Z
0,RT @France24_fr: 🔴 Le démocrate #JohnFetterman arrache de peu un siège de sénateur déterminant face au républicain #MehmetOz en #Pennsylvan…,2022-11-09T06:19:24.000Z
0.6369,Love #JohnFetterman https://t.co/NaGpF3rerc,2022-11-09T06:19:02.000Z
-0.2023,I hope that #Republicans on every corner of Twitter are fuming at their screens right now because of #JohnFetterman. #ElectionDay,2022-11-09T06:18:56.000Z
0.5707,"#MidtermElections2022 
#JohnFetterman könnte auch Frontman einer Cross-Over oder Nu-Metal Band sein. 😎
Congrats!",2022-11-09T06:18:14.000Z
0,"BREAKING: I KNOW I said goodnight....but WOOOOOHOOOO!!!!!!!!!!!!!!!!!!!!!!!!!!!! 🙏 🙏 

John Fetterman is our NEXT… https://t.co/q5Lc58GNGa",2022-11-09T06:18:10.000Z
-0.7762,"Hell yea!!!!

#Elections2022 #ElectionDay #Vote2022 #Midterms2022 #ElectionNight #Senate #House #VoteBlueToday… https://t.co/BZZSdYbZe5",2022-11-09T06:18:10.000Z
0,RT @France24_fr: 🔴 Le démocrate #JohnFetterman arrache de peu un siège de sénateur déterminant face au républicain #MehmetOz en #Pennsylvan…,2022-11-09T06:17:49.000Z
0.8528,Congratulations to @JohnFetterman #JohnFetterman is now the new Senator for #Pennsylvania YAY! https://t.co/Qfq5yeHAnC,2022-11-09T06:17:37.000Z
0,RT @France24_fr: 🔴 Le démocrate #JohnFetterman arrache de peu un siège de sénateur déterminant face au républicain #MehmetOz en #Pennsylvan…,2022-11-09T06:16:57.000Z
0,🔴 Le démocrate #JohnFetterman arrache de peu un siège de sénateur déterminant face au républicain #MehmetOz en… https://t.co/HJ3nyk0lQi,2022-11-09T06:16:45.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:16:17.000Z
0.7707,"Huge news re @JohnFetterman 
BRAVO! You beauty!
#johnfetterman 
#USMidterm2022 
💪",2022-11-09T06:16:09.000Z
0.2714,"The Dems with an important pickup in #Pennsylvania!
#JohnFetterman
Bye Bye #DrOz 

#Midterms2022 | #ElectionDay https://t.co/6ohav0szN0",2022-11-09T06:15:49.000Z
0,#JohnFetterman #Congratulations #USSenatePA,2022-11-09T06:15:37.000Z
0.6114,#JohnFetterman ✅ wins Senate seat in #Pennsylvania!,2022-11-09T06:15:26.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:15:24.000Z
-0.5267,"Get in Loser, we’re going to @JohnFetterman’s‼️ 
#fettermanwins #crudite #droz #johnfetterman https://t.co/N9FIX7nKZn",2022-11-09T06:15:06.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:14:31.000Z
